ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id,identity_resolution_required,identity_resolution_reason
STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STXS,"Stereotaxis, Inc. Common Stock",A,,,common_equity,eligible,True,N,N,,nasdaqtrader:A:STXS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STZ,"Constellation Brands, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:STZ,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SU,Suncor Energy  Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SU,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SUI,"Sun Communities, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SUI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SUIG,Sui Group Holdings Limited - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SUIG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SUJA,"Suja Life, Inc. - Class A Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SUJA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SUN,Sunoco LP Common Units representing limited partner interests,N,,,common_equity,eligible,True,N,N,,qrgf-resolution-required:N:SUN,requires_authoritative_resolution_before_L3,,,,nasdaq_trader_all_us_listed,True,instrument_resolution_required
SUNB,"Sunbelt Rentals Holdings, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SUNB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SUNC,"SunocoCorp LLC Common Units, representing limited liability company interests",N,,,common_equity,eligible,True,N,N,,qrgf-resolution-required:N:SUNC,requires_authoritative_resolution_before_L3,,,,nasdaq_trader_all_us_listed,True,instrument_resolution_required
SUNE,"SUNation Energy, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SUNE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SUNS,"Sunrise Realty Trust, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SUNS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SUPN,"Supernus Pharmaceuticals, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SUPN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SUPX,SuperX AI Technology Limited - Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SUPX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SVA,"Sinovac Biotech, Ltd. - Ordinary Shares (Antigua/Barbudo)",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SVA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SVC,Service Properties Trust - Common Shares of Beneficial Interest,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SVC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SVCC,Stellar V Capital Corp. - Class A Ordinary Shares,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SVCC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SVCO,"Silvaco Group, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SVCO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SVM,Silvercorp Metals Inc. Common Shares,A,,,common_equity,eligible,True,N,N,,nasdaqtrader:A:SVM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SVRA,"Savara, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SVRA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SVV,"Savers Value Village, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SVV,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SW,Smurfit WestRock plc Ordinary Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SW,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SWAG,"Stran & Company, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SWAG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SWBI,"Smith & Wesson Brands, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SWBI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SWIM,"Latham Group, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SWIM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SWK,"Stanley Black & Decker, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:SWK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
SWKS,"Skyworks Solutions, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:SWKS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
