ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id
CBNA,"Chain Bridge Bancorp, Inc. Class A Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CBNA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBNK,"Capital Bancorp, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CBNK,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBOE,"Cboe Global Markets, Inc. Common Stock",Z,,,common_equity,eligible,True,N,N,,nasdaqtrader:Z:CBOE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBRE,CBRE Group Inc Common Stock Class A,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CBRE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBRL,"Cracker Barrel Old Country Store, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CBRL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBRS,Cerebras Systems Inc. - Class A Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CBRS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBSH,"Commerce Bancshares, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CBSH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBT,Cabot Corporation Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CBT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBU,"Community Financial System, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CBU,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBUS,"Cibus, Inc. - Class A Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CBUS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CBZ,"CBIZ, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CBZ,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CC,Chemours Company (The) Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCAP,"Crescent Capital BDC, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCAP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCB,Coastal Financial Corporation - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCB,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCBG,Capital City Bank Group - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCBG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCC,CCC Intelligent Solutions Holdings Inc. - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCCC,"C4 Therapeutics, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCCC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCCT,Columbus Circle Capital Corp III - Class A Ordinary Shares,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCCT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCEC,Capital Clean Energy Carriers Corp. - Common Share,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCEC,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCEL,"Cryo-Cell International, Inc. Common Stock",A,,,common_equity,eligible,True,N,N,,nasdaqtrader:A:CCEL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCEP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCG,Cheche Group Inc. - Class A Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCHH,CCH Holdings Ltd - Class A Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCHH,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCI,Crown Castle Inc. Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CCI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCJ,Cameco Corporation Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CCJ,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCL,Carnival Corporation Ltd. Common Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CCL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCLD,"CareCloud, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCLD,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCNE,CNB Financial Corporation - Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCNE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCO,"Clear Channel Outdoor Holdings, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CCO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCOI,"Cogent Communications Holdings, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCOI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCS,"Century Communities, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CCS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCSI,"Consensus Cloud Solutions, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCSI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCU,"Compania Cervecerias Unidas, S.A. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CCU,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CCXI,Churchill Capital Corp XI - Class A Ordinary Shares,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CCXI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CD,Chaince Digital Holdings Inc. - American Ordinary Shares,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CD,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CDE,"Coeur Mining, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CDE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CDIO,Cardio Diagnostics Holdings Inc. - Common stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CDIO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CDLX,"Cardlytics, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CDLX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CDNA,"CareDx, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CDNA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CDNL,Cardinal Infrastructure Group Inc. - Class A Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CDNL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
